Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~bluetooth_decoder.PrjPCB|ReportField=ProjectFullPath~C:\Users\art_home\university\schem\sem6\BluetoothDecoder\device_board\bluetooth_decoder.PrjPCB|ReportField=Title~Bill of Materials For Project [bluetooth_decoder.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~23:39:13|ReportField=ReportDate~14.03.2020|ReportField=ReportDateTime~14.03.2020 23:39:13|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~22|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~14.03.2020|ReportField=CurrentTime~23:33:51|ReportField=Date~|ReportField=DecimalNumber~Децимальный номер|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\device_schem.SchDoc|ReportField=DocumentName~device_schem.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=HeadOfSector~Нач. сектора|ReportField=ImagePath~|ReportField=MainDevice~Перв.примен.|ReportField=ModifiedDate~14.03.2020|ReportField=Name~Наименование|ReportField=Organization~Altium Limited|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.94:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~bluetooth_decoder.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~bluetooth_decoder.PrjPCB|ReportField=DataSourceFullPath~C:\Users\art_home\university\schem\sem6\BluetoothDecoder\device_board\bluetooth_decoder.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C||C1, C2, C3, C4, C5, C6, C7, C8||C|8
2|TPS73033DBVT||D1||TPS73033DBVT|1
3|STM32F030C8||D2||STM32F030C8|1
4|LED||H1||LED|1
5|L||L1||L|1
6|R||R1, R2, R3, R4, R5||R|5
7|NO12_34||S1|SMD_SWITCH|NO12_34|1
8|PNP_BEC||VT1||PNP_BEC|1
9|X_4||X1, X3|HDR1X4H|X_4|2
10|X_6||X2|MHDR1X6|X_6|1
